2018-10-29 17:59:41.056063
 9710: 11.400000/100
 9720: 13.600000/100
 9730: 15.500000/100
 9740: 14.200000/100
 9750: 12.300000/100
 9760: 13.600000/100
 9770: 13.300000/100
 9780: 12.600000/100
 9790: 12.300000/100
 9800: 13.200000/100
 9810: 12.600000/100
 9820: 13.000000/100
 9830: 12.600000/100
 9840: 12.900000/100
 9850: 13.700000/100
 9860: 13.600000/100
 9870: 12.500000/100
 9880: 13.500000/100
 9890: 11.700000/100
 9900: 11.400000/100
 9910: 11.600000/100
 9920: 13.800000/100
 9930: 11.500000/100
 9940: 12.200000/100
 9950: 12.000000/100
 9960: 12.700000/100
 9970: 14.300000/100
 9980: 14.900000/100
 9990: 11.000000/100
